osmid,y,x,street_count,highway,geometry
4884050053,55.3916478,42.1009584,3,,POINT (42.1009584 55.3916478)
4884050135,55.389076,42.1032336,3,,POINT (42.1032336 55.389076)
4884050042,55.389272,42.0994557,4,,POINT (42.0994557 55.389272)
683053923,55.3952009,42.0971578,3,,POINT (42.0971578 55.3952009)
2544318931,55.3953197,42.0964041,3,,POINT (42.0964041 55.3953197)
4876868573,55.395079,42.0973456,3,,POINT (42.0973456 55.395079)
683053924,55.3968155,42.0964926,3,,POINT (42.0964926 55.3968155)
4876868529,55.3971156,42.0963532,3,,POINT (42.0963532 55.3971156)
4884050216,55.3953212,42.1001083,3,,POINT (42.1001083 55.3953212)
683053932,55.4035201,42.1054244,3,,POINT (42.1054244 55.4035201)
4884140396,55.402751,42.1022058,3,,POINT (42.1022058 55.402751)
4941179751,55.4047091,42.1066146,3,,POINT (42.1066146 55.4047091)
4876868481,55.4019133,42.1065724,3,,POINT (42.1065724 55.4019133)
683053936,55.4102463,42.1226147,3,,POINT (42.1226147 55.4102463)
4884019934,55.410056,42.122671,3,,POINT (42.122671 55.410056)
6895566768,55.4099398,42.1215061,3,,POINT (42.1215061 55.4099398)
4876868455,55.4102767,42.1229929,3,,POINT (42.1229929 55.4102767)
683053939,55.4124602,42.1301333,3,,POINT (42.1301333 55.4124602)
5545105557,55.4125273,42.1301703,3,,POINT (42.1301703 55.4125273)
4876868443,55.4119792,42.1337568,4,,POINT (42.1337568 55.4119792)
4884020128,55.409609,42.1283865,3,,POINT (42.1283865 55.409609)
683053953,55.4229739,42.1786433,3,,POINT (42.1786433 55.4229739)
1754358450,55.4229099,42.1799094,3,,POINT (42.1799094 55.4229099)
4886375099,55.4227836,42.1785066,3,,POINT (42.1785066 55.4227836)
2544318967,55.4233301,42.1732762,3,,POINT (42.1732762 55.4233301)
683053954,55.4230378,42.1844664,3,,POINT (42.1844664 55.4230378)
4939057141,55.4229199,42.1843688,3,,POINT (42.1843688 55.4229199)
4939057396,55.4230642,42.1913708,3,,POINT (42.1913708 55.4230642)
728758810,55.2351153,42.2261159,1,,POINT (42.2261159 55.2351153)
728759404,55.2540591,42.1843028,3,,POINT (42.1843028 55.2540591)
728766465,55.2555897,42.1837071,3,,POINT (42.1837071 55.2555897)
4936065400,55.2538081,42.1821098,3,,POINT (42.1821098 55.2538081)
850895740,55.2034487,42.17222,3,,POINT (42.17222 55.2034487)
728759716,55.2543958,42.1689343,1,,POINT (42.1689343 55.2543958)
4936065421,55.2576877,42.1751404,3,,POINT (42.1751404 55.2576877)
4936065412,55.2573968,42.1839404,3,,POINT (42.1839404 55.2573968)
4936065396,55.2553849,42.1818547,3,,POINT (42.1818547 55.2553849)
728826610,55.3098753,42.1269328,4,,POINT (42.1269328 55.3098753)
4933981201,55.3097885,42.1267629,3,,POINT (42.1267629 55.3097885)
1310140189,55.3103712,42.1276501,3,,POINT (42.1276501 55.3103712)
5140924057,55.3096421,42.1202347,4,,POINT (42.1202347 55.3096421)
728826889,55.3052373,42.1113209,3,,POINT (42.1113209 55.3052373)
5140935362,55.3048381,42.1084889,3,,POINT (42.1084889 55.3048381)
5140939880,55.3036907,42.1120769,4,,POINT (42.1120769 55.3036907)
5140927918,55.3072692,42.1171913,3,,POINT (42.1171913 55.3072692)
728826905,55.3027948,42.0944603,3,,POINT (42.0944603 55.3027948)
4933395229,55.3059271,42.0842028,3,,POINT (42.0842028 55.3059271)
4933395530,55.3013116,42.09284,3,,POINT (42.09284 55.3013116)
4933395551,55.3032129,42.0969055,3,,POINT (42.0969055 55.3032129)
728832338,55.3199538,42.1505299,3,,POINT (42.1505299 55.3199538)
5218609576,55.3198172,42.151117,3,,POINT (42.151117 55.3198172)
5186720566,55.3198164,42.1504288,3,,POINT (42.1504288 55.3198164)
1455815039,55.320672,42.1478586,3,,POINT (42.1478586 55.320672)
728832389,55.3219359,42.1393597,3,,POINT (42.1393597 55.3219359)
1462064084,55.3218311,42.1378411,3,,POINT (42.1378411 55.3218311)
12257700367,55.3218322,42.1393356,3,,POINT (42.1393356 55.3218322)
1455815042,55.3207215,42.147675,3,,POINT (42.147675 55.3207215)
850895652,55.2950611,42.0466833,3,,POINT (42.0466833 55.2950611)
850896226,55.2952534,42.0408558,4,,POINT (42.0408558 55.2952534)
4933395263,55.3005515,42.0912058,4,,POINT (42.0912058 55.3005515)
4933969107,55.2934953,42.046608,3,,POINT (42.046608 55.2934953)
850895660,55.3088333,42.1021283,3,,POINT (42.1021283 55.3088333)
12257759494,55.3091297,42.1036771,1,,POINT (42.1036771 55.3091297)
12257759498,55.310257,42.1028394,3,,POINT (42.1028394 55.310257)
850896575,55.3079622,42.0977196,3,,POINT (42.0977196 55.3079622)
850895681,55.3101329,42.1146228,3,,POINT (42.1146228 55.3101329)
12257759429,55.3104495,42.1145889,3,,POINT (42.1145889 55.3104495)
